sequence,theme,product,group,screen_id,screen_title_exact,state_id,state_label_exact,relative_path,capture_target,excluded,source_file,source_sha256,width_px,height_px,added_by_completion
1,light,Suite · Paciente,Inicio,home,Home,score,Con puntaje,light/Suite · Paciente/Inicio/Home/Con puntaje.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,618,
2,light,Suite · Paciente,Inicio,home,Home,noscore,Sin puntaje,light/Suite · Paciente/Inicio/Home/Sin puntaje.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,596,
3,light,Suite · Paciente,Bienestar,animo,Termómetro emocional,default,Termómetro emocional,light/Suite · Paciente/Bienestar/Termómetro emocional/Termómetro emocional.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
4,light,Suite · Paciente,Bienestar,respiracion,Guía de respiración,idle,En reposo,light/Suite · Paciente/Bienestar/Guía de respiración/En reposo.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,600,
5,light,Suite · Paciente,Bienestar,respiracion,Guía de respiración,running,En curso,light/Suite · Paciente/Bienestar/Guía de respiración/En curso.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,600,
6,light,Suite · Paciente,Bienestar,respiracion,Guía de respiración,paused,Pausado,light/Suite · Paciente/Bienestar/Guía de respiración/Pausado.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,600,
7,light,Suite · Paciente,Hábitos,timer,Temporizador,idle,En reposo,light/Suite · Paciente/Hábitos/Temporizador/En reposo.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
8,light,Suite · Paciente,Hábitos,timer,Temporizador,running,En curso,light/Suite · Paciente/Hábitos/Temporizador/En curso.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
9,light,Suite · Paciente,Hábitos,timer,Temporizador,paused,Pausado,light/Suite · Paciente/Hábitos/Temporizador/Pausado.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
10,light,Suite · Paciente,Hábitos,timer,Temporizador,empty,Sin actividades,light/Suite · Paciente/Hábitos/Temporizador/Sin actividades.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
11,light,Suite · Paciente,Hábitos,rutina,Checklist de rutina,default,Con tareas,light/Suite · Paciente/Hábitos/Checklist de rutina/Con tareas.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
12,light,Suite · Paciente,Hábitos,rutina,Checklist de rutina,add,Agregar tarea,light/Suite · Paciente/Hábitos/Checklist de rutina/Agregar tarea.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
13,light,Suite · Paciente,Hábitos,rutina,Checklist de rutina,done,100% completa,light/Suite · Paciente/Hábitos/Checklist de rutina/100% completa.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
14,light,Suite · Paciente,Hábitos,rutina,Checklist de rutina,empty,Sin tareas,light/Suite · Paciente/Hábitos/Checklist de rutina/Sin tareas.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
15,light,Suite · Paciente,Cognitivo,actividades,Activación conductual,default,Sugerencias,light/Suite · Paciente/Cognitivo/Activación conductual/Sugerencias.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,688,
16,light,Suite · Paciente,Cognitivo,actividades,Activación conductual,filtered,Filtrado,light/Suite · Paciente/Cognitivo/Activación conductual/Filtrado.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
17,light,Suite · Paciente,Cognitivo,actividades,Activación conductual,marked,Marcada,light/Suite · Paciente/Cognitivo/Activación conductual/Marcada.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,688,
18,light,Suite · Paciente,Cognitivo,actividades,Activación conductual,empty,Vacío,light/Suite · Paciente/Cognitivo/Activación conductual/Vacío.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
19,light,Suite · Paciente,Hábitos,avisos,Recordatorios de bienestar,all,Todos,light/Suite · Paciente/Hábitos/Recordatorios de bienestar/Todos.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,590,
20,light,Suite · Paciente,Hábitos,avisos,Recordatorios de bienestar,active,Activos,light/Suite · Paciente/Hábitos/Recordatorios de bienestar/Activos.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
21,light,Suite · Paciente,Hábitos,avisos,Recordatorios de bienestar,today,Hoy,light/Suite · Paciente/Hábitos/Recordatorios de bienestar/Hoy.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
22,light,Suite · Paciente,Hábitos,avisos,Recordatorios de bienestar,search,Búsqueda,light/Suite · Paciente/Hábitos/Recordatorios de bienestar/Búsqueda.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
23,light,Suite · Paciente,Hábitos,avisos,Recordatorios de bienestar,empty,Vacío,light/Suite · Paciente/Hábitos/Recordatorios de bienestar/Vacío.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
24,light,Suite · Paciente,Habilidades DBT,dbtnow,Habilidades DBT · Ahora,default,Habilidades DBT · Ahora,light/Suite · Paciente/Habilidades DBT/Habilidades DBT · Ahora/Habilidades DBT · Ahora.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
25,light,Suite · Paciente,Habilidades DBT,dbtlib,Habilidades DBT · Biblioteca,default,Habilidades DBT · Biblioteca,light/Suite · Paciente/Habilidades DBT/Habilidades DBT · Biblioteca/Habilidades DBT · Biblioteca.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,756,
26,light,Suite · Paciente,Cognitivo,registro,Registro de pensamientos (TCC),s0,Situación,light/Suite · Paciente/Cognitivo/Registro de pensamientos (TCC)/Situación.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,572,
27,light,Suite · Paciente,Cognitivo,registro,Registro de pensamientos (TCC),s1,Emoción,light/Suite · Paciente/Cognitivo/Registro de pensamientos (TCC)/Emoción.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
28,light,Suite · Paciente,Cognitivo,registro,Registro de pensamientos (TCC),s1otro,Emoción · Otro,light/Suite · Paciente/Cognitivo/Registro de pensamientos (TCC)/Emoción · Otro.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
29,light,Suite · Paciente,Cognitivo,registro,Registro de pensamientos (TCC),s2,Distorsiones,light/Suite · Paciente/Cognitivo/Registro de pensamientos (TCC)/Distorsiones.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
30,light,Suite · Paciente,Cognitivo,registro,Registro de pensamientos (TCC),s3,Respuesta,light/Suite · Paciente/Cognitivo/Registro de pensamientos (TCC)/Respuesta.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
31,light,Suite · Paciente,Cognitivo,registro,Registro de pensamientos (TCC),ok,Éxito,light/Suite · Paciente/Cognitivo/Registro de pensamientos (TCC)/Éxito.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
32,light,Suite · Paciente,Acceso,onboarding,Onboarding,normal,Normal,light/Suite · Paciente/Acceso/Onboarding/Normal.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,560,669,
33,light,Suite · Paciente,Acceso,onboarding,Onboarding,error,Error,light/Suite · Paciente/Acceso/Onboarding/Error.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,560,686,
34,light,Suite · Paciente,Acceso,recuperar,Recuperar acceso,default,Recuperar acceso,light/Suite · Paciente/Acceso/Recuperar acceso/Recuperar acceso.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,560,686,
35,light,Hub · Clínico,Pacientes,pacientes,Pacientes,list,Lista activa,light/Hub · Clínico/Pacientes/Pacientes/Lista activa.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,574,
36,light,Hub · Clínico,Pacientes,pacientes,Pacientes,empty,Vacío,light/Hub · Clínico/Pacientes/Pacientes/Vacío.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,569,
37,light,Hub · Clínico,Pacientes,detalle,Detalle de paciente,default,Detalle de paciente,light/Hub · Clínico/Pacientes/Detalle de paciente/Detalle de paciente.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
38,light,Hub · Clínico,Configuración,textos,Textos globales,default,Textos globales,light/Hub · Clínico/Configuración/Textos globales/Textos globales.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,622,
39,dark,Suite · Paciente,Inicio,home,Home,score,Con puntaje,dark/Suite · Paciente/Inicio/Home/Con puntaje.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,617,
40,dark,Suite · Paciente,Inicio,home,Home,noscore,Sin puntaje,dark/Suite · Paciente/Inicio/Home/Sin puntaje.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,595,
41,dark,Suite · Paciente,Bienestar,animo,Termómetro emocional,default,Termómetro emocional,dark/Suite · Paciente/Bienestar/Termómetro emocional/Termómetro emocional.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,571,
42,dark,Suite · Paciente,Bienestar,respiracion,Guía de respiración,idle,En reposo,dark/Suite · Paciente/Bienestar/Guía de respiración/En reposo.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,599,
43,dark,Suite · Paciente,Bienestar,respiracion,Guía de respiración,running,En curso,dark/Suite · Paciente/Bienestar/Guía de respiración/En curso.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,599,
44,dark,Suite · Paciente,Bienestar,respiracion,Guía de respiración,paused,Pausado,dark/Suite · Paciente/Bienestar/Guía de respiración/Pausado.png,.window,sidebar/navegador web del mockup y controles externos del stage,neuromood-mockup(6).html,0944e6516c0da83cf3d68d5e1ae3ebdf1f9dd9fe3261a0d49131b03634587b4e,980,599,
